id,status,owner,nft_name
2trLvdi2GzMNfHuUDut4DzeZm5Z7FSuoScoS7hD7Ju66,HODLED,3idUohSg9w1ZwefV1G7oNnU4iPpzgQUrrjFBo4u5kktQ,
2U1ZMu7Y5RuYQSFdu1j5q5QCbSrcKgyuVrkQwD7eoQii,HODLED,FjPPzNPetzQ7Pzb1bFsJJyxMNfGwga4UWJitTDEjcZCF,
2uH7h5WfsXKMEk8FdfXcnfNR3Sz3BdTAXMBxsJhdsYeT,HODLED,9TmGgkRkf2QsrFe6Ssb9staj32FsTccmPHEc6QJSAz4s,
2uX4a5oVRn3PyZ8J52uZc4E4EsAJb4P66TnTJXzh9nnJ,HODLED,8fdddL8sWGmXeFDpXYk3aCoF3xZbkA5gVg82Kzfa4Cxd,
2VbwEfzAeoyHXWMguxNV869FVA7Dj25kvW5CuL2R6aTw,HODLED,CvDRhHweLn322NWp9Gf1fmmvmqPB4x7n72NYSKG4BzSX,
2vsUoGyp6cXFHr1pboHov1Bs1o3oVfWaqLh6mE5wYsXk,HODLED,jda1nd1fseDUBqRV4XWmCWyZLpevUCZX5JAYJqcYhHv,
2VvQVer2Y7QTyDMEyRQwcFfPJ1iVm7x59FKTHi36uJxd,HODLED,DBwA2hgSGY2FTCohwfDSMN4v446v5yrMK7i3ntHuJdZS,
2XbEDJRFK3BG1vJ8fE6cg9z7LsbzSkB5sWvJx8soWVe4,HODLED,HoDrAxKfhNQzeGQbHz9RdWW68gaxReAmo76xy7CE6e59,
2xHEw8eZjg6b2Z8U8jEyNAXjyppfJYHbTMdpLgDbJNbd,HODLED,6mVbEsGejv4aPNRnV5z2229ynLAaJp6zf2Ao2VFsSgyy,
2XHkAX37xqb1NSY4PXQ1V7hNJ8pkL1aBq9R4tSpAC5t7,HODLED,E4a4Mj8ceLPH19YXyzdExNcMvtov6P9c2CH1bsZm1Tos,
2XwUoB9tP4F712atxouYbpGEdc1Ptcb9YjnVZLnGRLTA,HODLED,J3MzNcHLuEKcecFmzZ6vtANjJ3oAN2Ga3fyrK585Yjru,
2YcjJpinB1wtfTyw7a8miWvmzvkWq7QjeutgXpVG2huV,HODLED,CXWr5Hv9Fdfy8uD7pckYQ4LMeiE3U8PCpSrdzZoH5Mgq,
2YGTb2aUQBkeBLppFWcjc61KvuaZesoA4aCKq8FSjij9,HODLED,4sMeS34Ntk13oLsdzL3peorW2qKY1PP1tvJ8hoh42M3J,
2yomfaJ9tPwLzUeLjLAfyzCQ6Y3TwDsASfbEVRv2xJ7n,HODLED,EYKe9ntbErQZd9aKKoe9xJqYUVCNVA5tDEqhsbYd5mL8,
2znqQEAXnnowJvJzGVE5pzST9eVyYTgezfPyti9ANCqy,HODLED,6cEszvcxmjVAdmENMMEGbEFZoN1oUqHQGCJ34PoauMrS,
2ZX75zKKZHEJpvyt3pBAUKT8M2xxncgDQH9Hz62gn9JS,HODLED,DDaW5ppzL6gdctX7oh8vhEmu85R5Ubru2B5kzcGy45he,
2zZFqk7YGtZArRVd9EAnf2WCNBAxzorUa19qRrHNtQQ3,HODLED,CXWr5Hv9Fdfy8uD7pckYQ4LMeiE3U8PCpSrdzZoH5Mgq,
31im3oQ5qWF1V4h837TkPvebAVvYT64oCeLvz1qbn9qi,HODLED,EYKe9ntbErQZd9aKKoe9xJqYUVCNVA5tDEqhsbYd5mL8,
